,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
56,"frozenset({'default_no', 'poutcome_unknown'})",frozenset({'pdays_-1'}),0.84635,0.865175,0.84635,1.0,1.1558355246048486,0.11410913874999995,inf
57,"frozenset({'default_no', 'pdays_-1'})",frozenset({'poutcome_unknown'}),0.84635,0.865175,0.84635,1.0,1.1558355246048486,0.11410913874999995,inf
58,"frozenset({'poutcome_unknown', 'pdays_-1'})",frozenset({'default_no'}),0.865175,0.979775,0.84635,0.9782413962493137,0.9984347388424013,-0.0013268356249999114,0.9295173638778242
59,frozenset({'default_no'}),"frozenset({'poutcome_unknown', 'pdays_-1'})",0.979775,0.865175,0.84635,0.8638207751779746,0.9984347388424013,-0.0013268356249999114,0.9900555696083947
60,frozenset({'poutcome_unknown'}),"frozenset({'default_no', 'pdays_-1'})",0.865175,0.84635,0.84635,0.9782413962493137,1.1558355246048486,0.11410913874999995,7.061574435590967
61,frozenset({'pdays_-1'}),"frozenset({'default_no', 'poutcome_unknown'})",0.865175,0.84635,0.84635,0.9782413962493137,1.1558355246048486,0.11410913874999995,7.061574435590967
62,"frozenset({'default_no', 'pdays_-1'})",frozenset({'previous_0'}),0.84635,0.865175,0.84635,1.0,1.1558355246048486,0.11410913874999995,inf
63,"frozenset({'default_no', 'previous_0'})",frozenset({'pdays_-1'}),0.84635,0.865175,0.84635,1.0,1.1558355246048486,0.11410913874999995,inf
64,"frozenset({'pdays_-1', 'previous_0'})",frozenset({'default_no'}),0.865175,0.979775,0.84635,0.9782413962493137,0.9984347388424013,-0.0013268356249999114,0.9295173638778242
65,frozenset({'default_no'}),"frozenset({'pdays_-1', 'previous_0'})",0.979775,0.865175,0.84635,0.8638207751779746,0.9984347388424013,-0.0013268356249999114,0.9900555696083947
66,frozenset({'pdays_-1'}),"frozenset({'default_no', 'previous_0'})",0.865175,0.84635,0.84635,0.9782413962493137,1.1558355246048486,0.11410913874999995,7.061574435590967
67,frozenset({'previous_0'}),"frozenset({'default_no', 'pdays_-1'})",0.865175,0.84635,0.84635,0.9782413962493137,1.1558355246048486,0.11410913874999995,7.061574435590967
68,"frozenset({'default_no', 'pdays_-1'})",frozenset({'y_no'}),0.84635,0.9276,0.7861,0.9288119572280971,1.0013065515611224,0.0010257399999999972,1.0170247302904558
69,"frozenset({'default_no', 'y_no'})",frozenset({'pdays_-1'}),0.9086,0.865175,0.7861,0.8651771956856703,1.0000025378514985,1.9949999999768764e-06,1.0000162857142858
70,"frozenset({'pdays_-1', 'y_no'})",frozenset({'default_no'}),0.8038,0.979775,0.7861,0.9779795969146554,0.9981675353164302,-0.001443144999999868,0.9184663841807943
71,frozenset({'default_no'}),"frozenset({'pdays_-1', 'y_no'})",0.979775,0.8038,0.7861,0.8023270648873466,0.9981675353164303,-0.001443144999999868,0.9925486252743001
72,frozenset({'pdays_-1'}),"frozenset({'default_no', 'y_no'})",0.865175,0.9086,0.7861,0.9086023058918716,1.0000025378514987,1.9949999999768764e-06,1.0000252292127736
73,frozenset({'y_no'}),"frozenset({'default_no', 'pdays_-1'})",0.9276,0.84635,0.7861,0.847455799913756,1.0013065515611224,0.0010257399999999972,1.0072490459363956
74,"frozenset({'default_no', 'poutcome_unknown'})",frozenset({'previous_0'}),0.84635,0.865175,0.84635,1.0,1.1558355246048486,0.11410913874999995,inf
75,"frozenset({'default_no', 'previous_0'})",frozenset({'poutcome_unknown'}),0.84635,0.865175,0.84635,1.0,1.1558355246048486,0.11410913874999995,inf
